name,screen_name,time_zone,location,verified,lang,description,description_en,created_at,favourites_count,followers_count,friends_count,statuses_count,listed_count,isBot
Garret Simpson,GarrettSimpson_,Eastern Time (US & Canada),USA,FALSE,en,"Conservative, but I like chatting with people of both sides of the political aisle #tcot","Conservative, but I like chatting with people of both sides of the political aisle #tcot",Sat Aug 10 19:27:26 +0000 2013,1577,1588,1339,2010,25,1
Kate Ritter,KateRitterrrr,Eastern Time (US & Canada),USA,FALSE,en,I am a True Conservative and I love my country with all my heart! Happily married....,I am a True Conservative and I love my country with all my heart! Happily married....,Sun Aug 11 00:17:33 +0000 2013,6797,1578,1320,5347,54,1
Ernest Rivers,ErRivvvvers,Eastern Time (US & Canada),USA,FALSE,en,You do what you want when you poppin' #Thugger ☀️ #blacklivesmatter #DABBNATION Still wondering what Metro Boomin want some more of…,You do what you want when you poppin' #Thugger ☀️ #blacklivesmatter #DABBNATION Still wondering what Metro Boomin want some more of…,Sun Aug 11 12:32:12 +0000 2013,2263,827,864,1854,10,1
Claudia,claudia42kern,Eastern Time (US & Canada),USA,FALSE,en,"Lots of hobbies, prefer to lay in bed and do nothing ☺️","Lots of hobbies, prefer to lay in bed and do nothing ☺️",Mon Aug 12 12:28:59 +0000 2013,1609,2102,1723,2574,20,1
Elias Briggs,EliasBrick,Eastern Time (US & Canada),"New York, USA",FALSE,en,"Tenured professor, Director of Black Church Studies, minister, activist, womanist theologian, displaced New Yorker, lover of words","Tenured professor, Director of Black Church Studies, minister, activist, womanist theologian, displaced New Yorker, lover of words",Mon Aug 12 15:33:31 +0000 2013,2060,820,903,2047,6,1
Pam Daniels,PamBLMDaniels,Eastern Time (US & Canada),USA,FALSE,en,"Smart, strong, sensual woman
#BlackLivesMatter activist","Smart, strong, sensual woman
#BlackLivesMatter activist",Mon Aug 12 20:50:57 +0000 2013,2530,943,549,2478,24,1
Curtis Burrell,CurtisBigMan,Eastern Time (US & Canada),Baltimore,FALSE,en,Big Man!,Big Man!,Tue Aug 13 17:05:52 +0000 2013,3721,3143,2896,5510,32,1
Rick Shafer,deusXYX,Eastern Time (US & Canada),USA,FALSE,en,Freedom & Liberty Warrior Constitutional Conservative. USAF Veteran 316/46150 under Ronald Reagan. Levin #1 #Israel #PJNET,Freedom & Liberty Warrior Constitutional Conservative. USAF Veteran 316/46150 under Ronald Reagan. Levin #1 #Israel #PJNET,Wed Aug 14 05:02:51 +0000 2013,1021,2694,3191,1703,36,1
Javon Grayson,JavonHIDP,Eastern Time (US & Canada),USA,FALSE,en,The best time to plant a tree was 20 years ago. The second best time is now.,The best time to plant a tree was 20 years ago. The second best time is now.,Wed Aug 14 10:44:06 +0000 2013,4438,841,456,3479,18,1
Alexander Massey,Siccerthanyou,Eastern Time (US & Canada),USA,FALSE,en,"siccer than your average, boi #blm #BlackLivesMatter #StayWoke #BlackToLive","siccer than your average, boi #blm #BlackLivesMatter #StayWoke #BlackToLive",Wed Aug 14 11:53:20 +0000 2013,2313,941,854,2039,13,1
Susan,hyddrox,Eastern Time (US & Canada),USA,FALSE,en,~Reagan Conservative ~Jesus Lover ~PRO-Israel ~PRO-2A ~PRO-Life ~PRO-Constitution ~Support Police & Military #RenewUS #PJNET #TCOT #CruzCrew #WakeUpAmerica,~Reagan Conservative ~Jesus Lover ~PRO-Israel ~PRO-2A ~PRO-Life ~PRO-Constitution ~Support Police & Military #RenewUS #PJNET #TCOT #CruzCrew #WakeUpAmerica,Wed Aug 14 19:07:30 +0000 2013,8748,2225,2159,10242,72,1
Samir Gooden,SamirGooden,Eastern Time (US & Canada),USA,FALSE,en,"Young (in spirit), Gifted and Black. Proud Progressive Woman. A Man Who Stands For Nothing Will Fall For Anything- Malcolm X (MY ADDITION) #MalcolmX #BLM","Young (in spirit), Gifted and Black. Proud Progressive Woman. A Man Who Stands For Nothing Will Fall For Anything- Malcolm X (MY ADDITION) #MalcolmX #BLM",Thu Aug 15 08:09:52 +0000 2013,2237,873,794,1739,11,1
Gabriella Aldana,Gab1Aldana,Eastern Time (US & Canada),USA,FALSE,en,❤ Love my life ❤,❤ Love my life ❤,Thu Aug 15 21:02:22 +0000 2013,3861,3356,3020,3861,31,1
Chad Sloyer,ChadSloyer,Eastern Time (US & Canada),USA,FALSE,en,i was a good kid. never said I was a good adult. - Terrance Howard,i was a good kid. never said I was a good adult. - Terrance Howard,Fri Aug 16 18:51:11 +0000 2013,3081,797,872,2446,11,1
Emilee Waren,EmileeWaren,Eastern Time (US & Canada),USA,FALSE,en,•Christian•Constitutional•Capitalist •NRA•Supporting Military•Police •Wife•Mom,•Christian•Constitutional•Capitalist •NRA•Supporting Military•Police •Wife•Mom,Fri Aug 16 19:50:47 +0000 2013,1778,1909,1501,2170,23,1
Gwendolyn Lovet,GwennyThot,Eastern Time (US & Canada),"Baton Rouge, LA",FALSE,en,I HAVE TOO MANY FLAWS TO BE PERFECT BUT I HAVE TOO MANY BLESSINGS TO BE UNGRATEFUL ❤❤,I HAVE TOO MANY FLAWS TO BE PERFECT BUT I HAVE TOO MANY BLESSINGS TO BE UNGRATEFUL ❤❤,Sat Aug 17 01:20:54 +0000 2013,3124,1055,875,2597,16,1
Amelie Baldwin,AmelieBaldwin,Eastern Time (US & Canada),USA,FALSE,en,"Wife, Mother, Patriot, Friend","Wife, Mother, Patriot, Friend",Sat Aug 17 22:53:07 +0000 2013,14540,2464,1930,15227,160,1
Rosie Wise,RosieOnFleek,Eastern Time (US & Canada),USA,FALSE,en,"So, About That' on YT. Your woke big sister.
#Woke #BlackAndProud #BLM","So, About That' on YT. Your woke big sister.
#Woke #BlackAndProud #BLM",Sun Aug 18 11:56:48 +0000 2013,1353,683,637,1229,23,1
Jerry,camosaseko,Eastern Time (US & Canada),"Chicago, IL",FALSE,en,Enjoy your life and don't interfere in mine,Enjoy your life and don't interfere in mine,Sun Aug 18 17:12:57 +0000 2013,10088,2608,2279,9703,27,1
Peyton Cash,PeytonCashOut,Eastern Time (US & Canada),USA,FALSE,en,"#blackpride. Opinions, insights and witticisms are all free! #NiggaThatCares","#blackpride. Opinions, insights and witticisms are all free! #NiggaThatCares",Mon Aug 19 05:55:49 +0000 2013,1964,770,746,1576,12,1
Will Wise,DatWiseNigga,Eastern Time (US & Canada),USA,FALSE,en,"Squad goin' up, nobody flippin' packs now
#IloveMakonnen4life","Squad goin' up, nobody flippin' packs now
#IloveMakonnen4life",Tue Aug 20 00:53:56 +0000 2013,2393,904,812,1844,16,1
Chase Bacon,BLMSoldier,Eastern Time (US & Canada),USA,FALSE,en,"#BlackLivesMatter Future Guest on Pardon The Interruption, Around the Horn & Highly Questionable...","#BlackLivesMatter Future Guest on Pardon The Interruption, Around the Horn & Highly Questionable...",Tue Aug 20 07:33:54 +0000 2013,2129,696,707,1889,25,1
John Larsen,J0hnLarsen,Eastern Time (US & Canada),America,FALSE,en,"stand 4 conservatism, patriotism & optimism. Protect our Kids! #WakeUpAmerica","stand 4 conservatism, patriotism & optimism. Protect our Kids! #WakeUpAmerica",Tue Aug 20 13:02:28 +0000 2013,3211,541,852,2387,21,1
Stanley Parrish,StanleyParris,Eastern Time (US & Canada),USA,FALSE,en,I attribute my success to this: I never gave or took any excuse.,I attribute my success to this: I never gave or took any excuse.,Tue Aug 20 12:59:48 +0000 2013,1975,849,1149,1761,9,1
Archie Olivers,ArchieOlivers,Pacific Time (US & Canada),United States,FALSE,en,"My patriotic heart beats red, white, & blue.Just a guy in one of those fly over states! #2A","My patriotic heart beats red, white, & blue.Just a guy in one of those fly over states! #2A",Tue Aug 20 17:49:51 +0000 2013,1006,2569,3396,1854,28,1
Bleep The Police,BleepThePolice,Eastern Time (US & Canada),USA,FALSE,en,"For a second at least, I'm resurrecting the peace

#Blacktivist #BlackLivesMatter","For a second at least, I'm resurrecting the peace

#Blacktivist #BlackLivesMatter",Wed Aug 21 01:49:22 +0000 2013,11083,13196,8071,13727,163,1
Watch Jenny Walkin',WatchMeWalkin,Pacific Time (US & Canada),"Georgia, USA",FALSE,en,Working - Music geek + Blacker than BlackHole,Working - Music geek + Blacker than BlackHole,Wed Aug 21 13:49:48 +0000 2013,2214,851,547,2259,10,1
Michelle Arrington,MichelleArry,Eastern Time (US & Canada),USA,FALSE,en,Cautiously Optimistic Conservative. Gathering followers one at a time,Cautiously Optimistic Conservative. Gathering followers one at a time,Thu Aug 22 08:41:12 +0000 2013,2157,3229,3290,2433,42,1
Reginald Blackmon,RegieBlackmon,Eastern Time (US & Canada),"Los Angeles, CA",FALSE,en,"I’ve learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel.","I’ve learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel.",Thu Aug 22 18:06:53 +0000 2013,2558,856,931,1997,10,1
Cornell Burchett,CornellBurchet,Eastern Time (US & Canada),"Los Angeles, CA",FALSE,en,"A world for a few, a few to justice, lands in the hands of a few, few to education, wealth for a few. A world composed of an arrogant elite, perverse and biased","A world for a few, a few to justice, lands in the hands of a few, few to education, wealth for a few. A world composed of an arrogant elite, perverse and biased",Fri Aug 23 01:00:15 +0000 2013,2166,766,720,1786,19,1
Jackie Best,JacquelinIsBest,Eastern Time (US & Canada),United States,FALSE,en,"I love God,my family & politics. Conservative. MARRIED!
#tcot #PJNET","I love God,my family & politics. Conservative. MARRIED!
#tcot #PJNET",Fri Aug 23 14:41:32 +0000 2013,3518,2078,1757,3416,31,1
Kelvin Chambers,Kelvin_Chambers,Pacific Time (US & Canada),United States,FALSE,en,"Father of twin daughters. Conservative Republican. Interested in world events, politics, and sports. RT= whatever I find interesting","Father of twin daughters. Conservative Republican. Interested in world events, politics, and sports. RT= whatever I find interesting",Sat Aug 24 07:32:29 +0000 2013,984,1506,1260,1576,32,1
Randolph Burris,RandolphBurrr,Eastern Time (US & Canada),"Texas, USA",FALSE,en,"#FreeGucci
Blacktivist, I'm down with #BlackLivesMatter and #BRONZE 
United we stand","#FreeGucci
Blacktivist, I'm down with #BlackLivesMatter and #BRONZE 
United we stand",Sun Aug 25 19:28:17 +0000 2013,2552,876,917,1914,10,1
,Pamela_Moore13,,,,,,,,,,,,,1
Zachary Freeman,ZzzacharyZzz,Eastern Time (US & Canada),"Baltimore, MD",FALSE,en,"i work out hard as fuck, bench press and lift as much as I can, so if me and the cops ever get into it… God bless the one that I grab #FTP #ACAB #BlackPower","i work out hard as fuck, bench press and lift as much as I can, so if me and the cops ever get into it… God bless the one that I grab #FTP #ACAB #BlackPower",Mon Aug 26 13:25:39 +0000 2013,2290,899,831,1700,14,1
Steven Cook,CooknCooks,Pacific Time (US & Canada),United States,FALSE,en,"HI FBI !!! #TRUMP, #Trump2016, @realdonaldtrum, #WAKEUPAMERICA, #MakeAmericaGreatAgain, #SOCIALMEDIA, #Blogger, #PJNET, #CCOT, #Chicago,, #MASTER, #MUSIC,","HI FBI !!! #TRUMP, #Trump2016, @realdonaldtrum, #WAKEUPAMERICA, #MakeAmericaGreatAgain, #SOCIALMEDIA, #Blogger, #PJNET, #CCOT, #Chicago,, #MASTER, #MUSIC,",Thu Aug 29 19:45:40 +0000 2013,2447,1468,1454,2188,15,1
One Mighty Fish,OneMightyFish,Eastern Time (US & Canada),USA,FALSE,en,"People are just afraid of things too much. Afraid of things that don't necessarily merit fear  - Franc Ocean
#BlackToLive","People are just afraid of things too much. Afraid of things that don't necessarily merit fear  - Franc Ocean
#BlackToLive",Sat Aug 31 09:33:57 +0000 2013,1978,698,831,1718,13,1
Mackenzie Donovan,KenzDonovan,Eastern Time (US & Canada),United States,FALSE,en,Const Conservative Patriot Mamma❤️Defending #Liberty & #Freedom!❤️Luv #fam #friends #dogs & dancing cha-cha-cha!❤️,Const Conservative Patriot Mamma❤️Defending #Liberty & #Freedom!❤️Luv #fam #friends #dogs & dancing cha-cha-cha!❤️,Sat Aug 31 11:06:09 +0000 2013,2609,536,577,2300,10,1
Jasmin Jacobs,Jani_s_Jac,Eastern Time (US & Canada),USA,FALSE,en,"i aint shit now, but bitch i might be ✨
#FreeGuwop #BlackLivesALWAYSMattered","i aint shit now, but bitch i might be ✨
#FreeGuwop #BlackLivesALWAYSMattered",Sat Aug 31 17:14:08 +0000 2013,2405,906,575,2217,10,1
Ida Marks,IIddaaMarks,Eastern Time (US & Canada),USA,FALSE,en,An unexamined life is not worth living. –Socrates,An unexamined life is not worth living. –Socrates,Sat Aug 31 19:07:08 +0000 2013,3051,1080,925,2194,14,1
Donna from USA,DonnaBRivera,Eastern Time (US & Canada),USA,FALSE,en,Constitutional Conservative #1A #2A #NRA #StandWithIsrael #TCOT #CCOT #LNYHBT #ProLife #SupportMilitary #BlueLivesMatter #SecureTheBorder #GodBlessAmerica,Constitutional Conservative #1A #2A #NRA #StandWithIsrael #TCOT #CCOT #LNYHBT #ProLife #SupportMilitary #BlueLivesMatter #SecureTheBorder #GodBlessAmerica,Sun Sep 01 20:02:10 +0000 2013,1772,1623,1552,2341,33,1
Hunter Odom,HunterOddddom,Eastern Time (US & Canada),USA,FALSE,en,Life is 10% what happens to me and 90% of how I react to it. –Charles Swindoll,Life is 10% what happens to me and 90% of how I react to it. –Charles Swindoll,Mon Sep 02 02:57:06 +0000 2013,2615,2727,2001,2076,24,1
Fluffy Melvin,MelvinSRoberts,Eastern Time (US & Canada),,FALSE,en,Internet junkie #hashtagwars lover!,Internet junkie #hashtagwars lover!,Wed Sep 04 03:45:27 +0000 2013,3562,3169,2658,4874,30,1
Clyde Pratt,mrclydepratt,Eastern Time (US & Canada),"USA, Atlanta",FALSE,en,"Life is a beautiful struggle. Seek enlightenment, not hate
#BlackToLive","Life is a beautiful struggle. Seek enlightenment, not hate
#BlackToLive",Sat Sep 07 19:16:06 +0000 2013,1996,914,847,1978,23,1
Dorothie,DorothieBell,Eastern Time (US & Canada),USA,FALSE,en,"Conservative wife, mother! Extremely proud of our veterans!! Lets take this once great country back!!!","Conservative wife, mother! Extremely proud of our veterans!! Lets take this once great country back!!!",Sun Sep 08 19:08:41 +0000 2013,3166,1893,2315,3069,33,1
Deandre Gregory,OGDeandre,Eastern Time (US & Canada),"Florida, USA",FALSE,en,Read the mess I tweet & retweet about & you'll have an idea of the kinda person I am✌,Read the mess I tweet & retweet about & you'll have an idea of the kinda person I am✌,Thu Sep 12 09:04:03 +0000 2013,1989,774,415,1703,11,1
Michael Garcia,DrMichaelGarcia,Eastern Time (US & Canada),US,FALSE,en,I make privileged people upset #BlackLivesMatter #FistsUpAfrosOut,I make privileged people upset #BlackLivesMatter #FistsUpAfrosOut,Fri Sep 13 06:39:11 +0000 2013,2937,851,453,2295,11,1
Briana Ragland,brianaregland,Eastern Time (US & Canada),USA,FALSE,en,Black is my religion. If you buy me lipstick we go together #AllBlackEverything #WokeAF,Black is my religion. If you buy me lipstick we go together #AllBlackEverything #WokeAF,Sun Sep 15 17:11:49 +0000 2013,3221,768,415,2938,12,1
