id,id_str,screen_name,location,description,description_en,url,followers_count,friends_count,listed_count,created_at,favourites_count,verified,statuses_count,lang,default_profile,default_profile_image,has_extended_profile,name,bot
2568851552,2568851552,fuckeverywordza,,"Why wait until 2020 for the Z's? Fucking every word in the English language backwards, from Z to A.","Why wait until 2020 for the Z's? Fucking every word in the English language backwards, from Z to A.",,250,0,25,Sun Jun 15 11:20:31 +0000 2014,0,FALSE,31721,en,TRUE,FALSE,FALSE,fuck every word z-a,1
2954704090,2954704090,yeahTonyaGonzal,"Pensacola, USA","Musician, vegan, animal rights activist.","Musician, vegan, animal rights activist.",,15,1941,1,1/1/2015 11:47,319,FALSE,406,en,FALSE,FALSE,FALSE,yeahTonyaGonzal,1
8.39e+17,8.39E+17,BbbbggU,"_._______________, _________",_______ XXX,_______ XXX,,190,1899,0,3/7/2017 22:08,27,FALSE,0,th,TRUE,TRUE,FALSE,xXx,1
2835723644,2835723644,ecin_gnihtaseod,,"straight-up rip-off of @doesathing_nice, except it's a bot // reports to @thricedotted","straight-up rip-off of @doesathing_nice, except it's a bot // reports to @thricedotted",https://t.co/iEclQxz694,181,0,24,Tue Sep 30 04:56:09 +0000 2014,0,FALSE,21506,en,TRUE,TRUE,FALSE,‚ƒÓ‡«äu,1
1918202534,1918202534,tofu_product,,Follow me to chat. // Reflecting your personality back at you since 2013. // By @zhaytee,Follow me to chat. // Reflecting your personality back at you since 2013. // By @zhaytee,,10175,11465,199,Sun Sep 29 21:35:03 +0000 2013,328,FALSE,65022,en,TRUE,FALSE,FALSE,tofu,1
2475875424,2475875424,onetruewiseman,AMERICA,The Truest Wisdom (aka trying to make even less sense) from leading Republican presidential candidates for 2016.,The Truest Wisdom (aka trying to make even less sense) from leading Republican presidential candidates for 2016.,,23,4,8,Sat May 03 19:04:37 +0000 2014,4,FALSE,6230,en,FALSE,FALSE,FALSE,One True Wise Man,1
1909219404,1909219404,everycolorbot,the RGB color space,colors.  all of 'em. | developed by @vogon; feel free to send him feedback/feature requests,colors.  all of 'em. | developed by @vogon; feel free to send him feedback/feature requests,https://t.co/ICFGFTYbjQ,106126,0,999,Thu Sep 26 21:22:10 +0000 2013,2,FALSE,30156,en,TRUE,FALSE,FALSE,Every Color,1
4040207472,4040207472,himawari8bot,Space,Unofficial; imagery courtesy: Japan Meteorological Agency (https://t.co/lzPXaTnMCi) and CIRA (https://t.co/YksnDoJEl8). Bot by @__jcbl__,Unofficial; imagery courtesy: Japan Meteorological Agency (https://t.co/lzPXaTnMCi) and CIRA (https://t.co/YksnDoJEl8). Bot by @__jcbl__,https://t.co/OSHkLQWgKQ,2302,3,161,Tue Oct 27 23:06:22 +0000 2015,4,FALSE,7640,en,FALSE,FALSE,FALSE,himawari8bot,1
3369547257,3369547257,emoji__polls,‰÷•ü,A silly bot by @fourtonfish @botwikidotorg. Image credit: https://t.co/X3tmC9y6oI,A silly bot by @fourtonfish @botwikidotorg. Image credit: https://t.co/X3tmC9y6oI,https://t.co/OqsKPUkiXl,443,2,17,7/10/2015 18:30,6,FALSE,9584,en,FALSE,FALSE,FALSE,EMOJI POLLS!,1
2555847008,2555847008,everytrolltroll,,exposing the BLATANT HYPOCRISY of @everycanontroll // because @thricedotted was just THAT ANGRY about it,exposing the BLATANT HYPOCRISY of @everycanontroll // because @thricedotted was just THAT ANGRY about it,,27,1,10,Mon Jun 09 01:33:19 +0000 2014,0,FALSE,145,en,TRUE,FALSE,FALSE,EveryCanonTrollTroll,1
2520449720,2520449720,hyphizer,#botALLY,"New words, from time to time. By @derekarnold","New words, from time to time. By @derekarnold",,191,2,19,Sat May 24 13:13:08 +0000 2014,0,FALSE,5684,en,FALSE,FALSE,FALSE,hyphizer,1
8.29e+17,8.29E+17,GreenwadeGema,,secr,secr,,1,35,1,Mon Feb 06 14:07:17 +0000 2017,54,FALSE,82,en,TRUE,FALSE,FALSE,Gema Greenwade,1
2886558632,2886558632,par_papers,,"Twitterbot of #Parasitology papers in PubMed, bioRxiv, and PeerJ PrePrints. Image from http://t.co/zYv7ygHs2U. Run by @FilipHusnik","Twitterbot of #Parasitology papers in PubMed, bioRxiv, and PeerJ PrePrints. Image from http://t.co/zYv7ygHs2U. Run by @FilipHusnik",,651,0,36,11/1/2014 17:27,0,FALSE,19867,en,FALSE,FALSE,FALSE,Parasitology papers,1
2787206222,2787206222,everyMTGlegend,The Coast Where Wizards Chill,tweeting every legendary MTG card (as of 10/2015) task complete in ~1 year,tweeting every legendary MTG card (as of 10/2015) task complete in ~1 year,,37,45,7,Wed Sep 03 03:39:41 +0000 2014,0,FALSE,191,en,FALSE,FALSE,FALSE,every MTG legend,1
2364079946,2364079946,assembly_papers,,Papers on directed and self assembly,Papers on directed and self assembly,,331,56,36,2/27/2014 12:09,23,FALSE,29989,en,TRUE,FALSE,FALSE,assemblypapers,1
3369559252,3369559252,DeepDreamThis,"London, England",Tweet me a picture and I'll #deepdream it for you! Tweet '-me' and I'll dream your avatar! List of commands here: http://t.co/BRfLYAkWBA,Tweet me a picture and I'll #deepdream it for you! Tweet '-me' and I'll dream your avatar! List of commands here: http://t.co/BRfLYAkWBA,https://t.co/BvForGsKZn,1327,2,92,Fri Jul 10 17:20:58 +0000 2015,0,FALSE,24199,en,TRUE,FALSE,FALSE,Deep Dream This,1
1184955668,1184955668,baron777111,,,,None,0,52,0,Sat Jan 16 05:57:59 +0000 2016,0,FALSE,0,en,TRUE,TRUE,,Baron Baugh,1
4855573727,4855573727,BestOpinionPoll,,express your opinion on hopelessly mundane things with the highest-quality polls this side of Twitter. A project by @_Ninji.,express your opinion on hopelessly mundane things with the highest-quality polls this side of Twitter. A project by @_Ninji.,,54,0,5,1/28/2016 0:53,2,FALSE,1585,en,TRUE,FALSE,FALSE,Best Opinion Polls,1
2593449065,2593449065,dstroyeveryword,,Destroy every word in the english language. Task complete when the world ends. By @dangeredwolf.,Destroy every word in the english language. Task complete when the world ends. By @dangeredwolf.,http://t.co/qk2hdG5iAx,4247,2,72,Sun Jun 08 23:52:57 +0000 2014,587,FALSE,109325,en,FALSE,FALSE,FALSE,destroy every word,1
7.61e+17,"""761165367985246208""","""917_7513""","""""","""Sports""","""Sports""",null,0,54,0,"""Thu Aug 04 11:42:20 +0000 2016""",7,FALSE,18,"""en""",TRUE,TRUE,FALSE,"""(917) 615-7513""",1
1892842986,1892842986,snowcloneminute,,"A mashup of http://t.co/Tdj0YYLDOM and http://t.co/VSKfYVAJ21, another weird Internet thing by @air_hadoken.  Have a snowclone to add? Tweet it @air_hadoken!","A mashup of http://t.co/Tdj0YYLDOM and http://t.co/VSKfYVAJ21, another weird Internet thing by @air_hadoken.  Have a snowclone to add? Tweet it @air_hadoken!",http://t.co/ra5ecpWw95,163,2,74,Sun Sep 22 07:42:14 +0000 2013,64,FALSE,552492,en,TRUE,FALSE,FALSE,Snowclone-a-Minute,1
2540286551,2540286551,NESGarbageBot,,Tweets randomly-generated 16x16 images using the NES color palette. Images are resampled for your viewing pleasure.,Tweets randomly-generated 16x16 images using the NES color palette. Images are resampled for your viewing pleasure.,,32,1,12,Sun May 11 03:58:12 +0000 2014,0,FALSE,6181,en,TRUE,FALSE,FALSE,NES Garbage Bot,1
2751246980,2751246980,BklynMuseumBot,"Brooklyn, NY","I am a bot that tweets one random object from the Brooklyn Museum collection, four times a day. Bot by @backspace (not affiliated with @brooklynmuseum)","I am a bot that tweets one random object from the Brooklyn Museum collection, four times a day. Bot by @backspace (not affiliated with @brooklynmuseum)",https://t.co/dI4aTIAcQm,903,1,50,8/21/2014 4:08,0,FALSE,3654,en,FALSE,FALSE,FALSE,Brooklyn Museum Bot,1
7.72e+17,7.72E+17,clitoscope,,A compendium of newly discovered species of clitoris // by @startuple #botALLY,A compendium of newly discovered species of clitoris // by @startuple #botALLY,https://t.co/lq7rOoR2LL,108,10,9,9/3/2016 22:40,10,FALSE,537,en,FALSE,FALSE,FALSE,Clitoris Vulgaris,1
7.06e+17,7.06E+17,feud_exe,,Name something by @irondavy,Name something by @irondavy,,190,1,23,Sat Mar 05 03:44:14 +0000 2016,1,FALSE,4032,en,FALSE,FALSE,FALSE,Survey Says,1
2835394560,2835394560,vaporfave,,Tweets ~10 times a day between 8am-10pm PST. Will probably get more vaporwave-y as time goes by. Complaints: @beaugunderson,Tweets ~10 times a day between 8am-10pm PST. Will probably get more vaporwave-y as time goes by. Complaints: @beaugunderson,,675,118,66,Mon Sep 29 03:48:39 +0000 2014,8,FALSE,15437,en,FALSE,FALSE,FALSE,Vaporfave,1
4825082233,4825082233,peabero89,"Van Horn town, TX, USA",Middle age is youth without levity; and age without decay.,Middle age is youth without levity; and age without decay.,,1,340,0,1/28/2016 10:23,33,FALSE,49,en,TRUE,FALSE,FALSE,peabero89,1
4452780559,4452780559,UcOVJ4xlZaGwtKm,,,,,89,1225,0,4/12/2015 12:14,2,FALSE,2,en,TRUE,FALSE,FALSE,_Ö_Îñ«,1
2821046862,2821046862,moonmurmur,the sky and all of space,"[@thricedotted's subconscious, possibly]","[@thricedotted's subconscious, possibly]",https://t.co/iEclQxz694,1076,0,40,Sat Sep 20 05:03:51 +0000 2014,0,FALSE,12674,en,FALSE,FALSE,FALSE,"whispers, for moon",1
2477378850,2477378850,AttentiveBot,Tended to by @dphiffer,"You may have missed some things, I will help you find them.","You may have missed some things, I will help you find them.",https://t.co/ZdrJT42Wuv,399,679,20,Sun May 04 20:46:22 +0000 2014,64,FALSE,26073,en,FALSE,FALSE,FALSE,AttentiveBot,1
6.99e+17,6.99E+17,vocalsvt,‰äÇ VlNTAEGE,"hi! @VlNTAEGE gave you this free follow and i hope you'll follow my main acc, i want to get to know more people! have a good day ‰_•ü","hi! @VlNTAEGE gave you this free follow and i hope you'll follow my main acc, i want to get to know more people! have a good day ‰_•ü",https://t.co/mtIwsCfDXP,394,3537,0,Sun Feb 14 20:43:25 +0000 2016,46,FALSE,349,en,FALSE,FALSE,FALSE,free follow|read bio,1
8.39e+17,8.39E+17,249_4665,,,,,4,96,0,Wed Mar 08 15:26:07 +0000 2017,3,FALSE,0,ar,TRUE,TRUE,FALSE,+249 11 498 4665,1
201143023,"""201143023""","""Ttimmson74""","""Virginia, USA""","""""","""""",null,0,140,0,"""Mon Oct 11 05:12:52 +0000 2010""",2,FALSE,12,"""en""",TRUE,TRUE,TRUE,"""Tamica brown""",1
8.21e+17,"""820930460121300992""","""LondonPogoMap""","""London""","""Rare and strong PokŽmon in London. See more PokŽmon at https://t.co/rqjskg5pkE""","""Rare and strong PokŽmon in London. See more PokŽmon at https://t.co/rqjskg5pkE""","""https://t.co/rqjskg5pkE""",1334,0,13,"""Mon Jan 16 09:47:28 +0000 2017""",7,FALSE,59023,"""en""",TRUE,FALSE,FALSE,"""London PokŽ Alert""",1
2787454512,2787454512,CrisprPhages,,"A twitterbot posting the latest pubmed publications on CRISPRs, phages, virusses and prophages.","A twitterbot posting the latest pubmed publications on CRISPRs, phages, virusses and prophages.",,36,1,6,9/3/2014 7:58,0,FALSE,510,en,TRUE,TRUE,FALSE,Phages & Crisprs,1
8.4e+17,8.40E+17,forestgen,soothing forest,tweet me to get your own unique peaceful forest.  stay calm. created by @jshxe,tweet me to get your own unique peaceful forest.  stay calm. created by @jshxe,,8,1,1,3/8/2017 16:17,0,FALSE,29,en,FALSE,FALSE,FALSE,peaceful forest bot,1
2360241721,2360241721,phy_papers,,"Continuous feed for phylogenetics papers from PubMed, arXiv, bioRxiv, and PeerJ PrePrints. Run by @RobLanfear","Continuous feed for phylogenetics papers from PubMed, arXiv, bioRxiv, and PeerJ PrePrints. Run by @RobLanfear",,1451,1,44,2/25/2014 0:39,0,FALSE,15020,en,FALSE,FALSE,FALSE,phypapers,1
177684507,177684507,rnomics,France,"#RNomics, #RNA biology, RNA #bioinformatics, #RNA_World & #evolution, technologies & resources, daily papers: https://t.co/UaH05PfPIt & https://t.co/cuczvAA7dr","#RNomics, #RNA biology, RNA #bioinformatics, #RNA_World & #evolution, technologies & resources, daily papers: https://t.co/UaH05PfPIt & https://t.co/cuczvAA7dr",http://t.co/DAUEXVEsnC,1807,101,258,8/12/2010 20:13,124,FALSE,125403,en,FALSE,FALSE,FALSE,Fabrice Leclerc,1
8.41e+17,8.41E+17,woloshinj_buzz,,,,,1,63,0,3/13/2017 13:51,0,FALSE,1,en,TRUE,TRUE,FALSE,Buzz,1
2293077919,2293077919,DiGRAThemes,Snowbird,DiGRA 2014 Theme Generator. // by @ibogost,Voluminous 2014 Theme Generator. // by @ibogost,http://t.co/3YCdkWQbiL,82,49,10,Wed Jan 15 18:05:26 +0000 2014,0,FALSE,16728,en,FALSE,FALSE,FALSE,DiGRA Themes,1
7.82e+17,7.82E+17,Twisted_Maglion,,äš_o juzgues mis decisonescuando no conoces las razones.,äš_o judge my decisonescuando you do not know the reasons.,,2,20,0,Sun Oct 02 05:14:11 +0000 2016,66,FALSE,127,en,TRUE,FALSE,FALSE,Coralie Maglione,1
8.34e+17,8.34E+17,shantae_stubby,,ilove myparents more thaneverything,ilove myparents more thaneverything,,0,25,0,Tue Feb 21 01:28:29 +0000 2017,56,FALSE,73,en,TRUE,FALSE,FALSE,Shantae Stubby,1
3069631373,3069631373,super_jeopardy,,"This! Is! Jeopardy! I'm your host Alex Trebek and love wrong, she catches a train, literally. (by @alicemazzy)","This! Is! Jeopardy! I'm your host Alex Trebek and love wrong, she catches a train, literally. (by @alicemazzy)",,78,1,14,Wed Mar 04 10:41:15 +0000 2015,0,FALSE,4438,en,FALSE,FALSE,FALSE,Jeopardy! Stumpers,1
2398623474,2398623474,Speed_1994,"LA, FIRST TIME!",with love by @ems,with love by @ems,http://t.co/rLAYPixhVG,403,6,16,Thu Mar 20 00:34:23 +0000 2014,1,FALSE,12395,en,FALSE,FALSE,FALSE,Speed (1994),1
8752222,8752222,TheUniverse,Los Angeles,AKA @YACHT / @5everydayla / @terraformsf / computer book forthcoming @penguinrandom,AKA @YACHT / @5everydayla / @terraformsf / computer book forthcoming @penguinrandom,https://t.co/tWgh9OkgkK,7324,456,202,9/8/2007 21:12,5109,TRUE,3334,en,FALSE,FALSE,FALSE,Šä¾,1
2553194245,2553194245,everywordNYT,,All the news that fit in @everyword. Tribute bot by @robdubbin.,All the news that fit in @everyword. Tribute bot by @robdubbin.,,68,0,15,Sat Jun 07 19:34:43 +0000 2014,1,FALSE,25193,en,TRUE,FALSE,FALSE,everywordNYT,1
1945747520,1945747520,Exoriders,,"They scour the exoplanets for dinosaurs and when they find them, THEY RIDE THEM. New Exoriders at five after, chasing the @Exosaurs forever. Bot by @robinsloan.","They scour the exoplanets for dinosaurs and when they find them, THEY RIDE THEM. New Exoriders at five after, chasing the @Exosaurs forever. Bot by @robinsloan.",,108,1,20,Tue Oct 08 02:56:40 +0000 2013,0,FALSE,19770,en,TRUE,FALSE,FALSE,Exoriders,1
2479314061,2479314061,onlymanthings,MANLAND,MAN THINGS THAT ONLY MEN UNDERSTAND // by @thricedotted,MAN THINGS THAT ONLY MEN UNDERSTAND // by @thricedotted,,120,0,22,Tue May 06 05:26:03 +0000 2014,0,FALSE,5614,en,TRUE,FALSE,FALSE,men only,1
4853365872,4853365872,maximotxx,"Sandia, NM, USA",Knowledge Is Free.,Knowledge Is Free.,,0,330,0,2/3/2016 9:40,21,FALSE,29,en,TRUE,FALSE,FALSE,Maximo Thompson,1
7.84e+17,7.84E+17,violajacobs2414,,I want you to know thatI am both happy and sadand I'm still trying to fgure out how that could be.,I want you to know thatI am both happy and sadand I'm still trying to fgure out how that could be.,,0,22,0,Fri Oct 07 18:02:11 +0000 2016,71,FALSE,100,en,TRUE,FALSE,FALSE,Viola Jacobs,1
302049050,302049050,Lake5Media,"New York, NY 10022",L5M is a provider of advanced software analytical services to the media industry. Clients include the largest firms in the industry. Please follow our progress.,L5M is a provider of advanced software analytical services to the media industry. Clients include the largest firms in the industry. Please follow our progress.,http://t.co/UIKcwgkCu3,15,19,0,5/20/2011 14:22,0,FALSE,19,en,FALSE,FALSE,FALSE,Lake 5 Media,1
3384759783,3384759783,crystalliser,,coagulated by @dead_cells,coagulated by @dead_cells,https://t.co/jF2cCmC5wy,23,0,7,Mon Jul 20 18:46:55 +0000 2015,0,FALSE,63,en-gb,FALSE,FALSE,FALSE,crystalliser,1
393504310,393504310,SeethingVortex,New York Capital Territory,i got the poo on me,i got the poo on me,https://t.co/KdjzAYW005,127,180,6,10/18/2011 16:49,76087,FALSE,12702,en,FALSE,FALSE,TRUE,SeethingVortex,1
174958347,174958347,Horse_ebooks,,Horse ebooks,Horse ebooks,http://t.co/pVoIka58TM,175986,14914,1829,8/5/2010 7:18,1,FALSE,18839,en,TRUE,FALSE,FALSE,Horse ebooks,1
2305621754,2305621754,FMKVote,The Internet,"HOW TO VOTE: reply to a tweet with 'F' 'M' and 'K' in the order you want to vote. ('MFK' = marry, fuck, kill). A bot by @tinysubversions","HOW TO VOTE: reply to a tweet with 'F' 'M' and 'K' in the order you want to vote. ('MFK' = marry, fuck, kill). A bot by @tinysubversions",,731,1,28,Wed Jan 22 23:34:33 +0000 2014,0,FALSE,2576,en,TRUE,FALSE,FALSE,"Fuck, Marry, Kill",1
7.48e+17,7.48E+17,biorxiv_evobio,,,,,182,0,6,6/29/2016 18:43,0,FALSE,433,en,TRUE,FALSE,FALSE,bioRxiv Evobio,1
1885568064,1885568064,BoazimBot,"Boston, MA","I'm too lazy to update @boazims, so I wrote a bot to do it for me. Tweets hourly. By @tinysubversions.","I'm too lazy to update @boazims, so I wrote a bot to do it for me. Tweets hourly. By @tinysubversions.",,123,0,35,Fri Sep 20 06:38:32 +0000 2013,0,FALSE,29410,en,TRUE,FALSE,FALSE,Boazim Bot,1
2808482336,2808482336,ClipArtBot,,"Tweet a picture at me and I'll reply with an improved version! Bot by @_Ninji, art from http://t.co/vUU2SFoL66 [Temporarily broken due to Twitter rate limits!]","Tweet a picture at me and I'll reply with an improved version! Bot by @_Ninji, art from http://t.co/vUU2SFoL66 [Temporarily broken due to Twitter rate limits!]",,1287,1,116,Sun Sep 14 01:31:34 +0000 2014,0,FALSE,62797,en,TRUE,FALSE,FALSE,Clip Art Bot,1
7.49e+17,7.49E+17,gotogyuterte,@gyuterte,@gyuterte @gyuterte @gyuterte @gyuterte @gyuterte @gyuterte @gyuterte @gyuterte @gyuterte @gyuterte @gyuterte @gyuterte @gyuterte @gyuterte @gyuterte @gyuterte,@gyuterte @gyuterte @gyuterte @gyuterte @gyuterte @gyuterte @gyuterte @gyuterte @gyuterte @gyuterte @gyuterte @gyuterte @gyuterte @gyuterte @gyuterte @gyuterte,,110,1797,0,Sun Jul 03 01:22:16 +0000 2016,12,FALSE,4,en,TRUE,FALSE,FALSE,Follow @gyuterte,1
7.99e+17,7.99E+17,libraryofvivec,,artisanal bot by @Objelisks,artisanal bot by @Objelisks,https://t.co/qguhPByJBB,9,0,6,Wed Nov 16 08:04:05 +0000 2016,0,FALSE,1412,en,FALSE,FALSE,TRUE,Library of Vivec,1
3945972795,3945972795,ItMeIRL,,i'm a bot that mirrors the latest posts from /r/me_irl by @corbindavenport.,i'm a bot that mirrors the latest posts from /r/me_irl by @corbindavenport.,https://t.co/RkpPjsvkvB,102437,3,500,Tue Oct 13 11:30:21 +0000 2015,0,FALSE,13953,en,FALSE,FALSE,FALSE,me irl,1
7.79e+17,7.79E+17,Rober4628,,,,None,4,350,0,Thu Sep 22 20:55:28 +0000 2016,4,FALSE,6,en,TRUE,FALSE,,Robert Elliott,1
8.26e+17,8.26E+17,aura_mazon,,ZONA OPERATIV DE DEFENSA NEGRAL NŒÁ 63,OPERATIONAL AREA DEFENSE NEGRALS NŒÁ 63,,1,44,0,Sun Jan 29 03:59:17 +0000 2017,66,FALSE,78,en,TRUE,FALSE,FALSE,Aura Mazon,1
2533978033,"""2533978033""","""MBPoGoAlert""","""Myrtle Beach, SC""","""Pokemon Go Alerts in the Myrtle Beach Area! Conway: @ConwayPoGoAlert North Myrtle: @NMBPoGoAlert Loris/Green Sea: @LorisPoGoAlert Carolina Forest: @CFPoGoAlert""","""Pokemon Go Alerts in the Myrtle Beach Area! Conway: @ConwayPoGoAlert North Myrtle: @NMBPoGoAlert Loris/Green Sea: @LorisPoGoAlert Carolina Forest: @CFPoGoAlert""",null,281,5,1,"""Fri May 30 02:51:13 +0000 2014""",1,FALSE,22739,"""en""",TRUE,FALSE,FALSE,"""Pokemon Go""",1
2607163646,2607163646,tiny_star_field,,"i produce a small window of stars periodically throughout the day and night // (inquires, @katierosepipkin)","i produce a small window of stars periodically throughout the day and night // (inquires, @katierosepipkin)",,104669,5438,979,Sun Jul 06 09:21:05 +0000 2014,385,FALSE,7897,en,FALSE,FALSE,FALSE,‰Ü ‰Ïµtiny star fields‰Ïµ‰Ü ,1
516047986,516047986,pentametron,Stratford-upon-Internet,With algorithms subtle and discrete / I seek iambic writings to retweet.,With algorithms subtle and discrete / I seek iambic writings to retweet.,http://t.co/yk15FkTz2X,23472,2,653,3/6/2012 1:10,120,FALSE,59327,en,TRUE,FALSE,FALSE,Pentametron,1
2359455914,2359455914,ArkhamSingles,"Arkham, Massachusetts","Because even in a sunken, dead city things can be lonely. By @polm23","Because even in a sunken, dead city things can be lonely. By @polm23",,43,1,13,Mon Feb 24 12:51:17 +0000 2014,4,FALSE,26955,ja,TRUE,FALSE,FALSE,Arkham Singles,1
8.11e+17,8.11E+17,NYC_Newswire,"Brooklyn, NY",NYC Newswire Service,NYC Newswire Service,https://t.co/AhhYFK0b5Q,11,74,0,12/19/2016 15:20,0,FALSE,1,en,TRUE,FALSE,FALSE,NYC Newswire,1
8.12e+17,"""812169101665669122""","""VegasPokeMap""","""Las Vegas""","""Rare and strong PokŽmon in Las Vegas and Spring Valley. See more PokŽmon at https://t.co/GB4nYu29n3""","""Rare and strong PokŽmon in Las Vegas and Spring Valley. See more PokŽmon at https://t.co/GB4nYu29n3""","""https://t.co/GB4nYu29n3""",928,0,20,"""Fri Dec 23 05:32:58 +0000 2016""",0,FALSE,71773,"""en""",TRUE,FALSE,FALSE,"""Vegas PokŽmon Alert""",1
2815184227,2815184227,literaldevices,,A bot that generates novel literary and rhetorical devices and their definitions. By @atduskgreg.,A bot that generates novel literary and rhetorical devices and their definitions. By @atduskgreg.,,63,2,15,Wed Sep 17 15:45:20 +0000 2014,1,FALSE,2672,en,TRUE,FALSE,FALSE,Literal Devices,1
2583829850,2583829850,emojicheer,Internet,BOT HARD EVE RY DAY TIL WE REACH THE GOAL #taskcomplete by @negatendo,BOT HARD EVE RY DAY TIL WE REACH THE GOAL #taskcomplete by @negatendo,,71,2,14,Mon Jun 23 11:14:16 +0000 2014,1,FALSE,644,en,TRUE,FALSE,FALSE,The Goal,1
2365773044,2365773044,EuphemismBot,,There is no need for that kind of language.,There is no need for that kind of language.,,131,2,27,Fri Feb 28 15:34:08 +0000 2014,0,FALSE,4499,en,TRUE,FALSE,FALSE,Euphemism Bot,1
2369366659,2369366659,NK_papers,,Paper Twitterbot for academics with an interest in NK cell biology.,Paper Twitterbot for academics with an interest in NK cell biology.,,171,4,13,3/2/2014 20:34,1,FALSE,8808,en,FALSE,FALSE,FALSE,NK papers,1
